"date","adeno_A_0_9","adeno_A_10_19","adeno_A_20_29","adeno_A_30_39","adeno_A_40_49","adeno_A_50_59","adeno_A_60_69","adeno_A_70_79","adeno_A_80_89","adeno_A_90_99","adeno_B_0_9","adeno_B_10_19","adeno_B_20_29","adeno_B_30_39","adeno_B_40_49","adeno_B_50_59","adeno_B_60_69","adeno_B_70_79","adeno_B_80_89","adeno_B_90_99","rna_A_0_9","rna_A_10_19","rna_A_20_29","rna_A_30_39","rna_A_40_49","rna_A_50_59","rna_A_60_69","rna_A_70_79","rna_A_80_89","rna_A_90_99","rna_B_0_9","rna_B_10_19","rna_B_20_29","rna_B_30_39","rna_B_40_49","rna_B_50_59","rna_B_60_69","rna_B_70_79","rna_B_80_89","rna_B_90_99","rna_E_0_9","rna_E_10_19","rna_E_20_29","rna_E_30_39","rna_E_40_49","rna_E_50_59","rna_E_60_69","rna_E_70_79","rna_E_80_89","rna_E_90_99","rna_F_0_9","rna_F_10_19","rna_F_20_29","rna_F_30_39","rna_F_40_49","rna_F_50_59","rna_F_60_69","rna_F_70_79","rna_F_80_89","rna_F_90_99","rna_G_0_9","rna_G_10_19","rna_G_20_29","rna_G_30_39","rna_G_40_49","rna_G_50_59","rna_G_60_69","rna_G_70_79","rna_G_80_89","rna_G_90_99"
2021-09-17,1.3125,16.75,57.6248450465501,56.0320974749933,57.1072283399071,47.8130171388178,28.4341907942657,13.1113287515517,5.94740219604279,1.42989025787153,0,12,40.7456863361623,41.7117065675468,45.832106450824,46.3443736727948,24.7646049083565,10.1336333188869,8.48439513965174,2.48349360577687,503.375,694.5,366.799594617755,272.133104070892,162.797655565193,83.4743319357798,42.958255354772,19.8978401714092,9.33201158838939,2.10720669581068,900.6875,1129,498.094339492786,390.782291837298,220.232899055767,122.234197695931,61.3279876740475,29.8810402587984,15.1627208516217,2.78452313374982,0,4.5,25.853896541161,72.1662682508956,147.847238294601,282.859508077914,416.197058995317,308.369641388739,103.619325444346,10.8370630070263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-17,1.3125,16.75,57.6248450465501,56.0320974749933,57.1072283399071,47.8130171388178,28.4341907942657,13.1113287515517,5.94740219604279,1.42989025787153,0,12,40.7456863361623,41.7117065675468,45.832106450824,46.3443736727948,24.7646049083565,10.1336333188869,8.48439513965174,2.48349360577687,503.375,694.5,366.799594617755,272.133104070892,162.797655565193,83.4743319357798,42.958255354772,19.8978401714092,9.33201158838939,2.10720669581068,900.6875,1129,498.094339492786,390.782291837298,220.232899055767,122.234197695931,61.3279876740475,29.8810402587984,15.1627208516217,2.78452313374982,0,4.5,25.853896541161,72.1662682508956,147.847238294601,282.859508077914,416.197058995317,308.369641388739,103.619325444346,10.8370630070263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,0.4375,20.25,61.4783185948188,58.8538845162088,53.7537091724064,44.8327643384686,28.1463079034226,13.5141452716747,6.14149470911499,1.27937549388505,0,7.75,26.0671591800051,30.8140015730858,52.3471393973679,49.8488878498095,22.9135575572147,8.76613602920268,4.43951506540898,1.05360334790534,694.6875,899.25,372.867909690444,239.441851116349,143.09570294474,79.3984643569737,34.8919859296241,14.361426884326,6.41328358365785,1.27937549388505,1665,1995.25,592.172550871828,430.766852346604,256.44436068356,119.73580850397,48.7547072474216,21.6681539812164,9.20241872553532,1.50514763986477,0,7.5,39.2346341371255,99.270577652558,213.92907324797,354.343969803007,480.706654568225,383.770870312741,146.660794565908,17.0834257124651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,0.4375,20.25,61.4783185948188,58.8538845162088,53.7537091724064,44.8327643384686,28.1463079034226,13.5141452716747,6.14149470911499,1.27937549388505,0,7.75,26.0671591800051,30.8140015730858,52.3471393973679,49.8488878498095,22.9135575572147,8.76613602920268,4.43951506540898,1.05360334790534,694.6875,899.25,372.867909690444,239.441851116349,143.09570294474,79.3984643569737,34.8919859296241,14.361426884326,6.41328358365785,1.27937549388505,1665,1995.25,592.172550871828,430.766852346604,256.44436068356,119.73580850397,48.7547072474216,21.6681539812164,9.20241872553532,1.50514763986477,0,7.5,39.2346341371255,99.270577652558,213.92907324797,354.343969803007,480.706654568225,383.770870312741,146.660794565908,17.0834257124651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,0.4375,20.25,61.4783185948188,58.8538845162088,53.7537091724064,44.8327643384686,28.1463079034226,13.5141452716747,6.14149470911499,1.27937549388505,0,7.75,26.0671591800051,30.8140015730858,52.3471393973679,49.8488878498095,22.9135575572147,8.76613602920268,4.43951506540898,1.05360334790534,694.6875,899.25,372.867909690444,239.441851116349,143.09570294474,79.3984643569737,34.8919859296241,14.361426884326,6.41328358365785,1.27937549388505,1665,1995.25,592.172550871828,430.766852346604,256.44436068356,119.73580850397,48.7547072474216,21.6681539812164,9.20241872553532,1.50514763986477,0,7.5,39.2346341371255,99.270577652558,213.92907324797,354.343969803007,480.706654568225,383.770870312741,146.660794565908,17.0834257124651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,0.4375,20.25,61.4783185948188,58.8538845162088,53.7537091724064,44.8327643384686,28.1463079034226,13.5141452716747,6.14149470911499,1.27937549388505,0,7.75,26.0671591800051,30.8140015730858,52.3471393973679,49.8488878498095,22.9135575572147,8.76613602920268,4.43951506540898,1.05360334790534,694.6875,899.25,372.867909690444,239.441851116349,143.09570294474,79.3984643569737,34.8919859296241,14.361426884326,6.41328358365785,1.27937549388505,1665,1995.25,592.172550871828,430.766852346604,256.44436068356,119.73580850397,48.7547072474216,21.6681539812164,9.20241872553532,1.50514763986477,0,7.5,39.2346341371255,99.270577652558,213.92907324797,354.343969803007,480.706654568225,383.770870312741,146.660794565908,17.0834257124651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,0,1.25,7.78831624673258,8.84471683182364,7.96136731940659,5.3385768453058,1.9479522695372,0.847281612651314,0.271788874542861,0,0,0,0.699052668653993,1.65969138155207,1.63228827204601,0.664894623695691,0.725002566858066,0.369070487194175,0,0,11.8125,15.75,11.7835795900025,11.7081975387597,8.11159094694846,3.73812054592356,1.44717326937297,0.939549234449858,0.796016728563146,0.225772145979715,8.8125,11,7.64336868057795,4.97509098096817,2.62257266070594,1.75638324533,1.06804918882084,0.343938952082801,0.0905962915142871,0,0,0,0.848736891538658,0.854177791863362,0.889911174399634,1.65458970978041,2.96083772723832,2.72638008155103,0.990109241635345,0.0752573819932385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,0,1.25,7.78831624673258,8.84471683182364,7.96136731940659,5.3385768453058,1.9479522695372,0.847281612651314,0.271788874542861,0,0,0,0.699052668653993,1.65969138155207,1.63228827204601,0.664894623695691,0.725002566858066,0.369070487194175,0,0,11.8125,15.75,11.7835795900025,11.7081975387597,8.11159094694846,3.73812054592356,1.44717326937297,0.939549234449858,0.796016728563146,0.225772145979715,8.8125,11,7.64336868057795,4.97509098096817,2.62257266070594,1.75638324533,1.06804918882084,0.343938952082801,0.0905962915142871,0,0,0,0.848736891538658,0.854177791863362,0.889911174399634,1.65458970978041,2.96083772723832,2.72638008155103,0.990109241635345,0.0752573819932385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,0,1.25,7.78831624673258,8.84471683182364,7.96136731940659,5.3385768453058,1.9479522695372,0.847281612651314,0.271788874542861,0,0,0,0.699052668653993,1.65969138155207,1.63228827204601,0.664894623695691,0.725002566858066,0.369070487194175,0,0,11.8125,15.75,11.7835795900025,11.7081975387597,8.11159094694846,3.73812054592356,1.44717326937297,0.939549234449858,0.796016728563146,0.225772145979715,8.8125,11,7.64336868057795,4.97509098096817,2.62257266070594,1.75638324533,1.06804918882084,0.343938952082801,0.0905962915142871,0,0,0,0.848736891538658,0.854177791863362,0.889911174399634,1.65458970978041,2.96083772723832,2.72638008155103,0.990109241635345,0.0752573819932385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,0,1.25,7.78831624673258,8.84471683182364,7.96136731940659,5.3385768453058,1.9479522695372,0.847281612651314,0.271788874542861,0,0,0,0.699052668653993,1.65969138155207,1.63228827204601,0.664894623695691,0.725002566858066,0.369070487194175,0,0,11.8125,15.75,11.7835795900025,11.7081975387597,8.11159094694846,3.73812054592356,1.44717326937297,0.939549234449858,0.796016728563146,0.225772145979715,8.8125,11,7.64336868057795,4.97509098096817,2.62257266070594,1.75638324533,1.06804918882084,0.343938952082801,0.0905962915142871,0,0,0,0.848736891538658,0.854177791863362,0.889911174399634,1.65458970978041,2.96083772723832,2.72638008155103,0.990109241635345,0.0752573819932385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
